,filename,MTF0.25,MTF0.5,x_coord,y_coord,meas_index,f_no,focal_length,lens_name
0,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4237.tif,0.48984398629472026,0.09766267557775167,3153.266233766233,1717.5259740259735,0,4.0,10.0,XF10-24mmF4 R OIS
1,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4237.tif,0.045065467277386646,0.006595761319278887,5854.564935064935,890.9285714285711,1,4.0,10.0,XF10-24mmF4 R OIS
2,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4237.tif,0.023348232365984926,0.005605487580568658,560.0194805194806,858.5129870129863,2,4.0,10.0,XF10-24mmF4 R OIS
3,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4237.tif,0.027640263028219095,0.007547576670679953,576.2272727272727,3370.7207792207787,3,4.0,10.0,XF10-24mmF4 R OIS
4,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4237.tif,0.02538762981527312,0.0063635539410472905,5849.162337662337,3359.915584415584,4,4.0,10.0,XF10-24mmF4 R OIS
5,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4235.tif,0.4834988867029935,0.10631783106486664,3153.266233766233,1717.5259740259735,0,4.0,10.0,XF10-24mmF4 R OIS
6,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4235.tif,0.19366431467829734,0.10866229896318985,5854.564935064935,890.9285714285711,1,4.0,10.0,XF10-24mmF4 R OIS
7,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4235.tif,0.8240446925351688,0.1440347906410138,560.0194805194806,858.5129870129863,2,4.0,10.0,XF10-24mmF4 R OIS
8,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4235.tif,0.47450543902495235,0.03464687794865852,576.2272727272727,3370.7207792207787,3,4.0,10.0,XF10-24mmF4 R OIS
9,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4235.tif,0.1514887333739623,0.019549782823403587,5849.162337662337,3359.915584415584,4,4.0,10.0,XF10-24mmF4 R OIS
10,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4245.tif,0.2185400250265611,0.033515063045455755,3153.266233766233,1717.5259740259735,0,5.6,10.0,XF10-24mmF4 R OIS
11,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4245.tif,0.30097590228027615,0.0462746389431661,5854.564935064935,890.9285714285711,1,5.6,10.0,XF10-24mmF4 R OIS
12,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4245.tif,0.21540624663479557,0.040056777361762975,560.0194805194806,858.5129870129863,2,5.6,10.0,XF10-24mmF4 R OIS
13,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4245.tif,0.2025052765176031,0.02527636381859954,576.2272727272727,3370.7207792207787,3,5.6,10.0,XF10-24mmF4 R OIS
14,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4245.tif,0.27916801471563263,0.01037986877609922,5849.162337662337,3359.915584415584,4,5.6,10.0,XF10-24mmF4 R OIS
15,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4251.tif,0.29865667534368234,0.05632103222998516,3153.266233766233,1717.5259740259735,0,8.0,10.0,XF10-24mmF4 R OIS
16,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4251.tif,0.2946669547013598,0.026387592578958716,5854.564935064935,890.9285714285711,1,8.0,10.0,XF10-24mmF4 R OIS
17,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4251.tif,0.27189593297346204,0.04853845369091171,560.0194805194806,858.5129870129863,2,8.0,10.0,XF10-24mmF4 R OIS
18,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4251.tif,0.2978769824401912,0.0670228093911518,576.2272727272727,3370.7207792207787,3,8.0,10.0,XF10-24mmF4 R OIS
19,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4251.tif,0.26619705113173286,0.011358293487202081,5849.162337662337,3359.915584415584,4,8.0,10.0,XF10-24mmF4 R OIS
20,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4240.tif,0.32508732685291913,0.07234340208168553,3153.266233766233,1717.5259740259735,0,4.0,10.0,XF10-24mmF4 R OIS
21,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4240.tif,0.11271692522001402,0.009012234705018659,5854.564935064935,890.9285714285711,1,4.0,10.0,XF10-24mmF4 R OIS
22,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4240.tif,0.18290784992177478,0.017324540132800437,560.0194805194806,858.5129870129863,2,4.0,10.0,XF10-24mmF4 R OIS
23,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4240.tif,0.12282182226777727,0.014670677128980746,576.2272727272727,3370.7207792207787,3,4.0,10.0,XF10-24mmF4 R OIS
24,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4240.tif,0.13935450399398167,0.011210801689226578,5849.162337662337,3359.915584415584,4,4.0,10.0,XF10-24mmF4 R OIS
25,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4254.tif,0.44047649191997235,0.08355692134108861,3153.266233766233,1717.5259740259735,0,11.0,10.0,XF10-24mmF4 R OIS
26,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4254.tif,0.23672633053795628,0.01610290716201961,5854.564935064935,890.9285714285711,1,11.0,10.0,XF10-24mmF4 R OIS
27,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4254.tif,0.16234993794166794,0.024333590728673214,560.0194805194806,858.5129870129863,2,11.0,10.0,XF10-24mmF4 R OIS
28,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4254.tif,0.19761761874384398,0.025374491940848516,576.2272727272727,3370.7207792207787,3,11.0,10.0,XF10-24mmF4 R OIS
29,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4254.tif,0.20969961419179736,0.01012625687089376,5849.162337662337,3359.915584415584,4,11.0,10.0,XF10-24mmF4 R OIS
30,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4255.tif,0.4495168519956664,0.07704795883831773,3153.266233766233,1717.5259740259735,0,11.0,10.0,XF10-24mmF4 R OIS
31,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4255.tif,0.2352362340363013,0.010778414769563255,5854.564935064935,890.9285714285711,1,11.0,10.0,XF10-24mmF4 R OIS
32,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4255.tif,0.14824253632865111,0.013531801411466073,560.0194805194806,858.5129870129863,2,11.0,10.0,XF10-24mmF4 R OIS
33,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4255.tif,0.1867497641597998,0.028284106498026727,576.2272727272727,3370.7207792207787,3,11.0,10.0,XF10-24mmF4 R OIS
34,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4255.tif,0.20157256057062262,0.012833556576891858,5849.162337662337,3359.915584415584,4,11.0,10.0,XF10-24mmF4 R OIS
35,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4257.tif,0.35824080214717224,0.04992130992752066,3153.266233766233,1717.5259740259735,0,16.0,10.0,XF10-24mmF4 R OIS
36,../../../Pictures/FUJIFILM/10-24 10mm/DSCF4257.tif,0.12572457086131403,0.0239905414577892,5854.564935064935,890.9285714285711,1,16.0,10.0,XF10-24mmF4 R OIS
